FARM_ID,MSRM_DT,AREA_NM,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,SPICES_NM_1,SPICES_NM_2,SPICES_NM_3,HOUSE_QLFMT_CONT,HOUSE_TYPE,PLANT_AR_SQM,SHPMN_QTY,SHPMN_AMT
GBE_KRMLN_002000at,2019-01-01 21:00:00,성주,17.5,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-01 22:00:00,성주,17.3,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-01 23:00:00,성주,16.9,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 00:00:00,성주,16.6,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 01:00:00,성주,16.3,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 02:00:00,성주,16.1,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 03:00:00,성주,15.9,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 04:00:00,성주,15.7,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 05:00:00,성주,15.5,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 06:00:00,성주,15.4,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 07:00:00,성주,15.2,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 08:00:00,성주,15.2,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 09:00:00,성주,15.0,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 10:00:00,성주,21.5,50.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 11:00:00,성주,27.9,46.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 12:00:00,성주,31.4,42.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 13:00:00,성주,33.1,46.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 14:00:00,성주,32.1,47.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 15:00:00,성주,28.6,46.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 16:00:00,성주,20.6,42.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 17:00:00,성주,22.6,82.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 18:00:00,성주,22.4,85.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 19:00:00,성주,21.5,84.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 20:00:00,성주,20.0,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 21:00:00,성주,19.4,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 22:00:00,성주,18.9,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-02 23:00:00,성주,18.5,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 00:00:00,성주,18.1,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 01:00:00,성주,18.0,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 02:00:00,성주,17.7,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 03:00:00,성주,17.5,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 04:00:00,성주,17.3,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 05:00:00,성주,17.0,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 06:00:00,성주,16.7,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 07:00:00,성주,16.4,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 08:00:00,성주,16.3,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 09:00:00,성주,16.1,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 10:00:00,성주,21.4,53.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 11:00:00,성주,27.6,45.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 12:00:00,성주,32.1,45.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 13:00:00,성주,33.9,48.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 14:00:00,성주,31.8,45.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 15:00:00,성주,29.4,43.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 16:00:00,성주,21.7,42.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 17:00:00,성주,19.4,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 18:00:00,성주,21.0,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 19:00:00,성주,20.5,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 20:00:00,성주,20.0,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 21:00:00,성주,19.4,86.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 22:00:00,성주,19.0,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-03 23:00:00,성주,18.5,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 00:00:00,성주,18.2,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 01:00:00,성주,17.8,87.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 02:00:00,성주,17.5,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 03:00:00,성주,17.1,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 04:00:00,성주,16.8,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 05:00:00,성주,16.6,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 06:00:00,성주,16.3,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 07:00:00,성주,16.1,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 08:00:00,성주,16.0,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 09:00:00,성주,16.0,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 10:00:00,성주,21.4,54.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 11:00:00,성주,27.2,56.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 12:00:00,성주,24.6,55.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 13:00:00,성주,23.3,63.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 14:00:00,성주,28.6,57.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 15:00:00,성주,27.0,58.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 16:00:00,성주,21.4,49.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 17:00:00,성주,18.9,96.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 18:00:00,성주,20.3,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 19:00:00,성주,20.0,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 20:00:00,성주,19.6,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 21:00:00,성주,19.1,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 22:00:00,성주,18.8,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-04 23:00:00,성주,18.3,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 00:00:00,성주,18.0,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 01:00:00,성주,17.8,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 02:00:00,성주,17.5,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 03:00:00,성주,17.4,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 04:00:00,성주,17.2,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 05:00:00,성주,17.1,94.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 06:00:00,성주,17.0,92.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 07:00:00,성주,16.7,91.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 08:00:00,성주,16.4,93.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 09:00:00,성주,16.4,100.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 10:00:00,성주,20.1,65.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 11:00:00,성주,25.3,58.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 12:00:00,성주,29.2,64.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 13:00:00,성주,32.9,59.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 14:00:00,성주,30.2,50.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 15:00:00,성주,27.1,53.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 16:00:00,성주,19.7,49.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 17:00:00,성주,20.1,90.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 18:00:00,성주,20.5,89.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 19:00:00,성주,20.1,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 20:00:00,성주,19.4,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 21:00:00,성주,18.9,88.0,,바른꿀,,,비닐,단동,19800,,
GBE_KRMLN_002000at,2019-01-05 22:00:00,성주,18.5,88.0,,바른꿀,,,비닐,단동,19800,,
